micro_skill_code,question_id,questionType,correctAnswer
RW-MS-001,735cfb12-17b5-435e-b114-cbe8b270bf61,RW_PASSAGE_MCQ,A
RW-MS-001,894d5428-0a9a-4b6c-a2d1-f3f20568b686,RW_PASSAGE_MCQ,C
RW-MS-001,8c35d957-ff58-404f-a844-1f223f313f7b,RW_PASSAGE_MCQ,B
RW-MS-001,8cf0d4e4-9fbd-47b3-9b29-2ea8434f0efa,RW_PASSAGE_MCQ,B
RW-MS-001,8e3a8a69-ca7e-47dd-ab42-b9298c5cea85,RW_PASSAGE_MCQ,C
RW-MS-001,b25171f0-753c-498c-b0be-6e314f3a7e12,RW_PASSAGE_MCQ,B
RW-MS-001,b2ec9cd7-693f-4d23-a9a1-745bfa34fc75,RW_PASSAGE_MCQ,B
RW-MS-001,b6275643-6509-4af0-8eda-a17597a99c58,RW_PASSAGE_MCQ,A
RW-MS-001,b6e6be56-ffc4-4a3d-9058-c03fea5428c9,RW_PASSAGE_MCQ,A
RW-MS-001,c7de03a2-fdf8-4dec-ac1a-0fed63ac257c,RW_PASSAGE_MCQ,B
RW-MS-001,c9af87f7-b7f8-4098-b57b-92cb82693ca3,RW_PASSAGE_MCQ,B
RW-MS-001,d221042b-e8d8-4fd5-9e39-dc08bd935988,RW_PASSAGE_MCQ,A
RW-MS-001,dd64daed-ad97-4c8a-a361-9837450abcb7,RW_PASSAGE_MCQ,A
RW-MS-001,ee9c0654-8bc7-486f-b732-32987a183415,RW_PASSAGE_MCQ,C
RW-MS-001,ff51bf21-9a5c-4cf6-b4a3-c8e48195d00e,RW_PASSAGE_MCQ,B
RW-MS-002,029c5579-a765-4c3b-9401-88f0f10f2d13,RW_PASSAGE_MCQ,C
RW-MS-002,06c7e9d5-da8c-4ee9-bb7a-10a438bcb1af,RW_PASSAGE_MCQ,B
RW-MS-002,1222d32f-8fb1-4a93-b687-d33d2d34fb61,RW_PASSAGE_MCQ,A
RW-MS-002,141af5e4-60fb-4894-945f-b2a5183cacb6,RW_PASSAGE_MCQ,A
RW-MS-002,172f52a3-73e6-44bd-9398-3f185519131b,RW_PASSAGE_MCQ,C
RW-MS-002,196b95ba-0c9a-44fb-964b-dfa7a6de15b8,RW_PASSAGE_MCQ,C
RW-MS-002,2191860e-78b6-4462-97ce-d3fd5fe26f61,RW_PASSAGE_MCQ,A
RW-MS-002,21faef3a-3ff6-454c-9fef-d842275dd67c,RW_PASSAGE_MCQ,C
RW-MS-002,28c306e6-723d-44cc-8264-50a510065538,RW_PASSAGE_MCQ,A
RW-MS-002,33a85c21-0958-481e-ad04-c611c506f103,RW_PASSAGE_MCQ,B
RW-MS-002,422c6cdd-de4b-4d44-aafd-9ef558869578,RW_PASSAGE_MCQ,B
RW-MS-002,49811d10-0271-4a96-83ee-d39e1dc1f392,RW_PASSAGE_MCQ,B
RW-MS-002,6742887f-aa0e-4d95-a51d-51cb5f769547,RW_PASSAGE_MCQ,B
RW-MS-002,67d613f0-d62d-41ce-ae8e-c5db8a70f3c1,RW_PASSAGE_MCQ,C
RW-MS-002,74b96d87-1838-4934-8b92-ad0c532be8a1,RW_PASSAGE_MCQ,C
RW-MS-002,831f1450-3a84-44d5-9a71-c28244489605,RW_PASSAGE_MCQ,A
RW-MS-002,93e4b2aa-7d6a-414e-96f3-53ef33900914,RW_PASSAGE_MCQ,A
RW-MS-002,93e9e3a5-a6ae-4c0a-9376-49289654063e,RW_PASSAGE_MCQ,A
RW-MS-002,9bf99595-995a-43a0-8ec7-75406223f6f8,RW_PASSAGE_MCQ,B
RW-MS-002,9d0f27b3-0459-4740-8be5-2d938fcaeb7e,RW_PASSAGE_MCQ,C
RW-MS-002,a3826ef5-a64b-45f9-b107-52a1b80ea722,RW_PASSAGE_MCQ,B
RW-MS-002,b2ff69c2-db12-4ffd-958e-a1a9fc5ff07d,RW_PASSAGE_MCQ,A
RW-MS-002,b582c040-8272-418e-b874-64d85bc7a48a,RW_PASSAGE_MCQ,A
RW-MS-002,b9b41ce5-75ae-43d2-9b3e-b77759e1d47d,RW_PASSAGE_MCQ,B
RW-MS-002,c06e4525-22b0-4246-9b73-96a4a9d89f3d,RW_PASSAGE_MCQ,A
RW-MS-002,c603811a-5697-4619-bb55-6037fcee94cb,RW_PASSAGE_MCQ,B
RW-MS-002,e655422d-7610-455e-af4d-ab5dea91cf68,RW_PASSAGE_MCQ,C
RW-MS-002,f31afeb4-b2b4-4081-a7fb-e591aa326cf1,RW_PASSAGE_MCQ,C
RW-MS-002,fcf62329-083c-4456-8f09-0a21b268e61c,RW_PASSAGE_MCQ,B
RW-MS-002,ff943c17-80ea-4f21-9cd1-39426b9e523e,RW_PASSAGE_MCQ,C
